"do";"engage in";"""make love, not war""; ""make an effort""; ""do research""; ""do nothing""; ""make revolution"";";[sound:videos_bsl_signstation_do.mp4];"https://media.signbsl.com/videos/bsl/signstation/do.mp4";"<i>do</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/do";"5";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"think";"recall knowledge from memory; have a recollection";"""I can't remember saying any such thing""; ""I can't think what her last name was""; ""can you remember her phone number?""; ""Do you remember that he once loved you?""; ""call up memories"";";[sound:videos_bsl_signstation_remember.mp4];"https://media.signbsl.com/videos/bsl/signstation/remember.mp4";"<i>remember</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/think";"17";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"think";"expect, believe, or suppose";"""I imagine she earned a lot of money with her new novel""; ""I thought to find her in a bad state""; ""he didn't think to find her in the kitchen""; ""I guess she is angry at me for standing her up"";";[sound:videos_bsl_signstation_suppose.mp4];"https://media.signbsl.com/videos/bsl/signstation/suppose.mp4";"<i>suppose</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/think";"17";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"think";"imagine or visualize";"""Just think--you could be rich one day!""; ""Think what a scene it must have been!"";";[sound:videos_bsl_signstation_think.mp4];"https://media.signbsl.com/videos/bsl/signstation/think.mp4";"<i>think</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/think";"17";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"think";"have on one's mind, think about actively";"""I'm thinking about my friends abroad""; ""She always thinks about her children first"";";[sound:videos_bsl_signon_mp4_msw21.mp4];"https://media.signbsl.com/videos/bsl/signon/mp4/msw21.mp4";"<i>think about</i>";"https://www.signbsl.com/sign/think";"17";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"think";"judge or regard; look upon; judge";"""I think he is very smart""; ""I believe her to be very smart""; ""I think that he is her boyfriend""; ""The racist conceives such people to be inferior"";";[sound:videos_bsl_signstation_consider.mp4];"https://media.signbsl.com/videos/bsl/signstation/consider.mp4";"<i>consider</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/think";"17";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"which";"asking for information specifying one or more people or things from a definite set";"""which are the best varieties of grapes for long keeping?"";";[sound:videos_bsl_signstation_which.mp4];"https://media.signbsl.com/videos/bsl/signstation/which.mp4";"<i>Which</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/which";"6";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"find";"come upon after searching; find the location of something that was missed or lost";"""Did you find your glasses?""; ""I cannot find my gloves!"";";[sound:videos_bsl_signstation_find.mp4];"https://media.signbsl.com/videos/bsl/signstation/find.mp4";"<i>find</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/find";"13";"GCSE_vocabulary GCSE_vocabulary"
"find";"after a calculation, investigation, experiment, survey, or study";"""find the product of two numbers""; ""The physicist who found the elusive particle won the Nobel Prize"";";[sound:videos_wolver_mp4_art_determ_4288.mp4];"https://media.signbsl.com/videos/wolver/mp4/art_determ_4288.mp4";"<i>determine </i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://www.signbsl.com/sign/find";"13";"GCSE_vocabulary GCSE_vocabulary"
"find";"get or find back; recover the use of";"""She regained control of herself""; ""She found her voice and replied quickly"";";[sound:videos_ict_mp4_842_retrieve_flv.mp4];"https://media.signbsl.com/videos/ict/mp4/842_retrieve_flv.mp4";"<i>retrieve</i> <span style=""color:#666; font-size:80%;"">- QIA Dictionary of ICT</span>";"https://www.signbsl.com/sign/find";"13";"GCSE_vocabulary GCSE_vocabulary"
