"city";"a large and densely populated urban area; may include several independent administrative districts";"""Ancient Troy was a great city"";";[sound:videos_bsl_signstation_city.mp4];"https://media.signbsl.com/videos/bsl/signstation/city.mp4";"<i>city</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/city";"2";"GCSE_vocabulary GCSE_vocabulary"
"agree";"be in accord; be in agreement";"""We agreed on the terms of the settlement""; ""I can't agree with you!""; ""I hold with those who say life is sacred""; ""Both philosophers concord on this point"";";[sound:videos_bsl_signmonkey_mp4_agree.mp4];"https://media.signbsl.com/videos/bsl/signmonkey/mp4/agree.mp4";"<i>agree</i> <span style=""color:#666; font-size:80%;"">- Karl O'Keeffe</span>";"https://www.signbsl.com/sign/agree";"6";"GCSE_vocabulary GCSE_vocabulary"
"agree";"be compatible, similar or consistent; coincide in their characteristics";"""The two stories don't agree in many details""; ""The handwriting checks with the signature on the check""; ""The suspect's fingerprints don't match those on the gun"";";[sound:videos_bsl_signstation_agree.mp4];"https://media.signbsl.com/videos/bsl/signstation/agree.mp4";"<i>agree</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/agree";"6";"GCSE_vocabulary GCSE_vocabulary"
"church";"a place for public (especially Christian) worship";"""the church was empty"";";[sound:videos_bsl_signstation_church.mp4];"https://media.signbsl.com/videos/bsl/signstation/church.mp4";"<i>church</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/church";"5";"GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary"
"church";"a place for public (especially Christian) worship";"""the church was empty"";";[sound:videos_bsl_signstation_church.mp4];"https://media.signbsl.com/videos/bsl/signstation/church.mp4";"<i>church</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/church";"5";"GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"list";"a database containing an ordered array of items (names or topics)";"";[sound:videos_bsl_signstation_list.mp4];"https://media.signbsl.com/videos/bsl/signstation/list.mp4";"<i>list</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/list";"3";"GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award"
"focus";"cause to converge on or toward a central point";"""Focus the light on this image"";";[sound:videos_wolver_mp4_3121_Focus.mp4];"https://media.signbsl.com/videos/wolver/mp4/3121_Focus.mp4";"<i>focus</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://www.signbsl.com/sign/focus";"6";""
"focus";"maximum clarity or distinctness of an idea";"""the controversy brought clearly into focus an important difference of opinion"";";[sound:videos_bsl_signstation_focus.mp4];"https://media.signbsl.com/videos/bsl/signstation/focus.mp4";"<i>focus</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/focus";"6";""
"focus";"the place inside Earth’s crust where an earthquake originates";"";[sound:videos_wolver_mp4_sci_focus_6683.mp4];"https://media.signbsl.com/videos/wolver/mp4/sci_focus_6683.mp4";"<i>focus</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://www.signbsl.com/sign/focus";"6";""
"warm";"having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat";"""a warm body""; ""a warm room""; ""a warm climate""; ""a warm coat"";";[sound:videos_bsl_signstation_warm.mp4];"https://media.signbsl.com/videos/bsl/signstation/warm.mp4";"<i>warm</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/warm";"5";"GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award"
