"school";"an educational institution";"""the school was founded in 1900"";";[sound:videos_bsl_signstation_school.mp4];"https://media.signbsl.com/videos/bsl/signstation/school.mp4";"<i>school</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/school";"5";""
"pass";"pass from physical life and lose all all bodily attributes and functions necessary to sustain life";"""She died from cancer""; ""They children perished in the fire""; ""The patient went peacefully"";";[sound:videos_bsl_signstation_die.mp4];"https://media.signbsl.com/videos/bsl/signstation/die.mp4";"<i>die</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/pass";"6";""
"pass";"pass by";"""A black limousine passed by when she looked out the window""; ""He passed his professor in the hall""; ""One line of soldiers surpassed the other"";";[sound:videos_bsl_signstation_pass.mp4];"https://media.signbsl.com/videos/bsl/signstation/pass.mp4";"<i>pass</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/pass";"6";""
"pass";"(sports) the act of throwing the ball to another member of your team";"""the pass was fumbled"";";[sound:videos_bsl_youtube_mp4_hIHlwNKxd1o.mp4];"https://media.signbsl.com/videos/bsl/youtube/mp4/hIHlwNKxd1o.mp4";"<i>Pass</i> <span style=""color:#666; font-size:80%;"">- National Deaf Children's Society <a href=""https://www.ndcs.org.uk/"" rel=""nofollow"" target=""_blank"">More details</a></span>";"https://www.signbsl.com/sign/pass";"6";""
"cover";"bedding that keeps a person warm in bed";"""he pulled the covers over his head and went to sleep"";";[sound:videos_bsl_signstation_blanket.mp4];"https://media.signbsl.com/videos/bsl/signstation/blanket.mp4";"<i>blanket</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/cover";"3";"GCSE_vocabulary"
"cover";"the act of concealing the existence of something by obstructing the view of it";"""the cover concealed their guns from enemy aircraft"";";[sound:videos_bsl_signstation_cover.mp4];"https://media.signbsl.com/videos/bsl/signstation/cover.mp4";"<i>cover</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/cover";"3";"GCSE_vocabulary"
"cover";"help out by taking someone's place and temporarily assuming his responsibilities";"""She is covering for our secretary who is ill this week"";";[sound:videos_bsl_signon_mp4_dpw27.mp4];"https://media.signbsl.com/videos/bsl/signon/mp4/dpw27.mp4";"<i>cover</i>";"https://www.signbsl.com/sign/cover";"3";"GCSE_vocabulary"
"fire";"destroy by fire";"""They burned the house and his diaries"";";[sound:videos_bsl_signstation_fire.mp4];"https://media.signbsl.com/videos/bsl/signstation/fire.mp4";"<i>fire</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/fire";"9";"GCSE_vocabulary"
"fire";"the act of firing weapons or artillery at an enemy";"""hold your fire until you can see the whites of their eyes""; ""they retreated in the face of withering enemy fire"";";[sound:videos_wolver_mp4_3109_Firing.mp4];"https://media.signbsl.com/videos/wolver/mp4/3109_Firing.mp4";"<i>firing</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://www.signbsl.com/sign/fire";"9";"GCSE_vocabulary"
"period";"an amount of time";"""a time period of 30 years""; ""hastened the period of time of his recovery""; ""Picasso's blue period"";";[sound:videos_bsl_signstation_period.mp4];"https://media.signbsl.com/videos/bsl/signstation/period.mp4";"<i>period</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/period";"3";""
