"thing";"a special situation";"""this thing has got to end""; ""it is a remarkable thing"";";[sound:videos_bsl_signstation_thing.mp4];"https://media.signbsl.com/videos/bsl/signstation/thing.mp4";"<i>thing</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/thing";"2";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"give";"organize or be responsible for";"""hold a reception""; ""have, throw, or make a party""; ""give a course"";";[sound:videos_bsl_signstation_have.mp4];"https://media.signbsl.com/videos/bsl/signstation/have.mp4";"<i>have</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/give";"14";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"give";"break down, literally or metaphorically";"""The wall collapsed""; ""The business collapsed""; ""The dam broke""; ""The roof collapsed""; ""The wall gave in""; ""The roof finally gave under the weight of the ice"";";[sound:videos_bsl_signstation_break.mp4];"https://media.signbsl.com/videos/bsl/signstation/break.mp4";"<i>break</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/give";"14";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"give";"give entirely to a specific person, activity, or cause";"""She committed herself to the work of God""; ""give one's talents to a good cause""; ""consecrate your life to the church"";";[sound:videos_bsl_signstation_commit.mp4];"https://media.signbsl.com/videos/bsl/signstation/commit.mp4";"<i>commit</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/give";"14";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"show";"show or demonstrate something to an interested audience";"""She shows her dogs frequently""; ""We will demo the new software in Washington"";";[sound:videos_bsl_signstation_show.mp4];"https://media.signbsl.com/videos/bsl/signstation/show.mp4";"<i>show</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/show";"7";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary"
"show";"give expression to";"""She showed her disappointment"";";[sound:videos_ssc_express_cit.mp4];"https://media.signbsl.com/videos/ssc/express_cit.mp4";"<i>express</i> <span style=""color:#666; font-size:80%;"">- Scottish Sensory Centre <a href=""http://www.ssc.education.ed.ac.uk/bsl/"" rel=""nofollow"" target=""_blank"">More details</a></span>";"https://www.signbsl.com/sign/show";"7";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary"
"show";"a public exhibition of entertainment";"""a remarkable show of skill"";";[sound:videos_bsl_signstation_show-2.mp4];"https://media.signbsl.com/videos/bsl/signstation/show-2.mp4";"<i>show</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/show";"7";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary"
"nothing";"a quantity of no importance";"""it looked like nothing I had ever seen before""; ""reduced to nil all the work we had done""; ""we racked up a pathetic goose egg""; ""it was all for naught""; ""I didn't hear zilch about it"";";[sound:videos_bsl_signstation_zip.mp4];"https://media.signbsl.com/videos/bsl/signstation/zip.mp4";"<i>zip</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/nothing";"8";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"watch";"look attentively";"""watch a basketball game"";";[sound:videos_bsl_youtube_mp4_0Nj36KqiUEU.mp4];"https://media.signbsl.com/videos/bsl/youtube/mp4/0Nj36KqiUEU.mp4";"<i>watch</i> <span style=""color:#666; font-size:80%;"">- National Deaf Children's Society <a href=""https://www.ndcs.org.uk/"" rel=""nofollow"" target=""_blank"">More details</a></span>";"https://www.signbsl.com/sign/watch";"5";"GCSE_vocabulary GCSE_vocabulary"
"watch";"a small portable timepiece";"";[sound:videos_bsl_signstation_watch.mp4];"https://media.signbsl.com/videos/bsl/signstation/watch.mp4";"<i>watch</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/watch";"5";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"create";"make or cause to be or to become";"""make a mess in one's office""; ""create a furor"";";[sound:videos_bsl_signstation_create.mp4];"https://media.signbsl.com/videos/bsl/signstation/create.mp4";"<i>create</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/create";"3";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"create";"create or manufacture a man-made product";"""We produce more cars than we can sell""; ""The company has been making toys for two centuries"";";[sound:videos_bsl_signstation_produce.mp4];"https://media.signbsl.com/videos/bsl/signstation/produce.mp4";"<i>produce</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/create";"3";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
