"word";"a word is a string of bits stored in computer memory";"""large computers use words up to 64 bits long"";";[sound:videos_ict_mp4_308_word.mp4];"https://media.signbsl.com/videos/ict/mp4/308_word.mp4";"<i>word</i> <span style=""color:#666; font-size:80%;"">- QIA Dictionary of ICT</span>";"https://www.signbsl.com/sign/word";"6";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary"
"best";"(superlative of `good') having the most positive qualities";"""the best film of the year""; ""the best solution""; ""the best time for planting""; ""wore his best suit"";";[sound:videos_bsl_signstation_best.mp4];"https://media.signbsl.com/videos/bsl/signstation/best.mp4";"<i>best</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/best";"5";"GCSE_vocabulary GCSE_vocabulary"
"often";"many times at short intervals";"""we often met over a cup of coffee"";";[sound:videos_bsl_signstation_often.mp4];"https://media.signbsl.com/videos/bsl/signstation/often.mp4";"<i>often</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/often";"5";"GCSE_vocabulary"
"die";"pass from physical life and lose all all bodily attributes and functions necessary to sustain life";"""She died from cancer""; ""They children perished in the fire""; ""The patient went peacefully"";";[sound:videos_bsl_signstation_die.mp4];"https://media.signbsl.com/videos/bsl/signstation/die.mp4";"<i>die</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/die";"2";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"science";"a particular branch of scientific knowledge";"""the science of genetics"";";[sound:videos_bsl_signstation_science.mp4];"https://media.signbsl.com/videos/bsl/signstation/science.mp4";"<i>science</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/science";"4";"GCSE_vocabulary"
"dead";"no longer having or seeming to have or expecting to have life";"""the nerve is dead""; ""a dead pallor""; ""he was marked as a dead man by the assassin"";";[sound:videos_bsl_signstation_dead.mp4];"https://media.signbsl.com/videos/bsl/signstation/dead.mp4";"<i>dead</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/dead";"5";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"dead";"completely and without qualification; used informally as intensifiers";"""an absolutely magnificent painting""; ""a perfectly idiotic idea""; ""you're perfectly right""; ""utterly miserable""; ""you can be dead sure of my innocence""; ""was dead tired""; ""dead right"";";[sound:videos_bsl_signstation_absolutely.mp4];"https://media.signbsl.com/videos/bsl/signstation/absolutely.mp4";"<i>absolutely</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/dead";"5";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"save";"save from sins";"";[sound:videos_bsl_signstation_save.mp4];"https://media.signbsl.com/videos/bsl/signstation/save.mp4";"<i>save</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/save";"9";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"save";"save from ruin, destruction, or harm";"";[sound:videos_bsl_signstation_relieve.mp4];"https://media.signbsl.com/videos/bsl/signstation/relieve.mp4";"<i>relieve</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/save";"9";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"fight";"the act of fighting; any contest or struggle";"""a fight broke out at the hockey game""; ""there was fighting in the streets""; ""the unhappy couple got into a terrible scrap"";";[sound:videos_bsl_signstation_fight.mp4];"https://media.signbsl.com/videos/bsl/signstation/fight.mp4";"<i>fight</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/fight";"2";"GCSE_vocabulary"
"king";"a male sovereign; ruler of a kingdom";"";[sound:videos_bsl_signstation_king.mp4];"https://media.signbsl.com/videos/bsl/signstation/king.mp4";"<i>king</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/king";"2";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary"
"concept";"an abstract or general idea inferred or derived from specific instances";"";[sound:videos_wolver_mp4_sci_concep_6088.mp4];"https://media.signbsl.com/videos/wolver/mp4/sci_concep_6088.mp4";"<i>conception</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://www.signbsl.com/sign/concept";"2";"GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award"
"promise";"make a promise or commitment";"";[sound:videos_bsl_signstation_promise.mp4];"https://media.signbsl.com/videos/bsl/signstation/promise.mp4";"<i>promise</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/promise";"7";"GCSE_vocabulary"
"promise";"make a prediction about; tell in advance";"""Call the outcome of an election"";";[sound:videos_bsl_signstation_anticipate.mp4];"https://media.signbsl.com/videos/bsl/signstation/anticipate.mp4";"<i>anticipate</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/promise";"7";"GCSE_vocabulary"
"actor";"a theatrical performer";"";[sound:videos_bsl_signstation_player.mp4];"https://media.signbsl.com/videos/bsl/signstation/player.mp4";"<i>player</i> <span style=""color:#666; font-size:80%;"">- University of Bristol &amp; Deaf Studies Trust</span>";"https://www.signbsl.com/sign/actor";"9";"GCSE_vocabulary"
